UTC_Seconds_Of_Day,Latitude(deg),Longitude(deg),WGS84_Ellipsoid_Height(m),South-to-North_Slope,West-to-East_Slope,RMS_Fit(cm),Number_Of_ATM_Measurments_Used,Number_Of_ATM_Measurements_Removed,Distance_Of_Block_To_The_Right_Of_Aircraft(m),Track_Identifier
54974.75,69.254663,310.356039,488.527,0.1018523,0.1918848,609.37,3558,1,0,0
54975,69.254207,310.353587,471.055,0.0821649,0.1458284,583.87,3470,11,102,1
54975,69.25427,310.355129,482.0119,0.0787638,0.0547494,486.65,2287,0,41,2
54975,69.254332,310.356671,490.2974,0.1084762,0.3192213,676.71,3832,0,-21,3
54975,69.254311,310.356153,486.5604,0.1045964,0.1717798,587.36,3557,1,0,0
54975.25,69.253855,310.353702,467.7605,0.0739165,0.2146042,585.32,3505,3,102,1
54975.25,69.253918,310.355246,478.3442,0.1121619,-0.0058308,524.5,2256,18,40,2
54975.25,69.253981,310.356789,486.498,0.0744385,0.2859011,686.69,3872,0,-21,3
54975.25,69.253959,310.356267,482.4108,0.104543,0.1972195,670.16,3587,0,0,0
54975.5,69.253503,310.353817,465.1087,0.086764,0.1540241,646.9,3543,1,102,1
54975.5,69.253566,310.35536,472.6142,0.1522647,0.018204,626.71,2269,2,40,2
54975.5,69.253629,310.356903,484.7484,0.1068774,0.2593718,678.64,3829,0,-21,3
54975.5,69.253608,310.356381,479.2919,0.0939699,0.2672757,662.84,3526,1,0,0
54975.75,69.253153,310.353994,461.8134,0.1294173,0.0846272,595.74,3709,0,99,1
54975.75,69.253215,310.355512,469.6947,0.1132805,0.0932232,749.16,2190,1,39,2
54975.75,69.253278,310.35703,481.788,0.1515669,0.1926258,590.02,3778,9,-21,3
54975.75,69.253256,310.356496,476.9531,0.1112617,0.2339021,661.37,3496,5,0,0
54976,69.252801,310.354125,458.2737,0.0879666,0.1002836,642.05,3757,1,99,1
54976,69.252865,310.35567,467.3236,0.0219781,0.1358053,707.75,2210,0,37,2
54976,69.25293,310.357215,478.2618,0.1428012,0.076074,474.73,3557,199,-24,3
54976,69.252905,310.356612,473.9326,0.0904064,0.1676234,652.76,3465,23,0,0
54976.25,69.252446,310.354155,454.6603,0.0976959,0.1503845,689.78,3614,0,102,1
54976.25,69.252512,310.355734,464.5767,0.042677,0.1572973,681.07,2287,0,39,2
54976.25,69.252578,310.357313,469.5867,0.2423823,-0.0333603,647.52,3759,1,-23,3
54976.25,69.252553,310.356729,469.169,0.1935517,0.0127517,678.25,3342,51,0,0
54976.5,69.252092,310.354227,450.8896,0.0958213,0.1535621,731.33,3572,3,104,1
54976.5,69.252159,310.355824,460.3169,0.2397068,0.0506706,607.81,2210,49,41,2
54976.5,69.252226,310.357421,462.2306,0.2076041,0.0224357,726.62,3823,2,-23,3
54976.5,69.252202,310.356847,461.8451,0.2234264,0.0028018,633.3,3364,4,0,0
54976.75,69.25174,310.354345,445.2048,0.1920207,0.092325,766.88,3650,0,104,1
54976.75,69.251808,310.355942,450.9467,0.3036836,0.0431949,495.24,2310,0,41,2
54976.75,69.251875,310.357539,454.7998,0.1735935,0.0315759,721.15,3820,2,-23,3
54976.75,69.251851,310.356965,453.8084,0.2336073,0.0354199,631.81,3322,17,0,0
54977,69.251384,310.354357,435.7026,0.2852294,0.0897255,726.92,3637,0,108,1
54977,69.251454,310.356006,441.9201,0.2447739,0.0617347,582.08,2272,0,43,2
54977,69.251525,310.357655,446.4042,0.1451975,0.0734105,604.88,3810,3,-23,3
54977,69.2515,310.357084,444.8322,0.1714048,0.0337111,574.78,3213,4,0,0
54977.25,69.251032,310.354476,427.5133,0.2623284,-0.00473,661.17,3714,0,108,1
54977.25,69.251103,310.356125,432.4032,0.1804946,0.073861,453.39,2271,2,43,2
54977.25,69.251174,310.357774,440.3175,0.2284726,0.1248018,467.99,3770,22,-23,3
54977.25,69.25115,310.357203,437.2598,0.2099357,0.1215885,459.79,3244,1,0,0
54977.5,69.250679,310.35456,418.8512,0.171919,0.0485846,546.22,3709,0,110,1
54977.5,69.250751,310.356223,424.3732,0.2003239,0.045514,478.38,2211,0,44,2
54977.5,69.250823,310.357887,431.9467,0.2251298,0.1237696,474.57,3722,20,-22,3
54977.5,69.250799,310.357324,428.87,0.233531,0.1100871,452.09,3144,1,0,0
54977.75,69.250328,310.354681,412.674,0.1063328,0.0624597,479.08,3664,0,110,1
54977.75,69.250401,310.356345,417.3847,0.2365634,0.0197087,403.1,2128,53,44,2
54977.75,69.250473,310.358008,427.3464,0.1105342,0.1140557,626.71,3707,0,-22,3
54977.75,69.250449,310.357445,423.7974,0.1426073,0.1461191,646.1,3086,0,0,0
54978,69.249978,310.354813,409.4159,0.1132474,0.0341101,447.24,3608,4,109,1
54978,69.250051,310.356495,412.1384,0.1129627,0.0377391,584.61,2185,0,43,2
54978,69.250125,310.358178,422.965,0.0802357,0.1694085,551.99,3668,2,-24,3
54978,69.250099,310.357567,418.2213,0.1066301,0.2011625,577.2,3053,3,0,0
54978.25,69.249627,310.35495,405.1681,0.0984549,0.0610461,418.67,3664,24,109,1
54978.25,69.249703,310.35666,409.8895,0.007912,0.1227128,594.62,2185,0,41,2
54978.25,69.249779,310.358369,420.0651,0.0763162,0.1055665,610.08,3504,57,-27,3
54978.25,69.249749,310.357691,416.1536,0.0264218,0.1688042,596.69,2902,38,0,0
54978.5,69.249277,310.355085,400.8936,0.1163624,0.0340109,415.11,3678,21,108,1
54978.5,69.249353,310.356795,408.9133,0.0308121,0.1886148,665.1,2139,8,40,2
54978.5,69.24943,310.358505,417.1988,0.1620962,0.0413855,587.32,3537,20,-27,3
54978.5,69.249399,310.357815,414.5794,0.0990916,0.0947645,712,2886,0,0,0
54978.75,69.248927,310.355223,397.1459,0.1447758,0.0868971,363.93,3596,71,108,1
