name= LTER_0068.sig,,,
instrument= HK: 6232084 (HR-512i),,,
integration= 20.0  0.0  0.0  20.0  0.0  0.0,,,
scan method= Time-based  Time-based,,,
scan coadds= 250  0  0  250  0  0,,,
scan time= 5  5,,,
scan settings= AI  AI,,,
external data set1= 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,
external data set2= 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,
external data dark= 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,
external data mask= 0,,,
optic= LENS 4(1)  LENS 4(1),,,
temp= 23.5  0.0  0.0  23.5  0.0  0.0,,,
vis detector temp= 23.5  23.5,,,
battery= 8.28  8.32,,,
error= 0  0,,,
units= Radiance  Radiance,,,
time= 6/28/2024 11:32:45 AM  6/28/2024 11:33:04 AM,,,
longitude= 07555.6442W       07555.6448W,,,
latitude= 3717.2897N        3717.2910N,,,
gpstime= 125230.300        125249.304,,,
comm=,,,
memory slot= 94  95,,,
factors= 1.000  1.000  1.000 [Overlap: Preserve  Matching Type: None],,,
inclinometer x offset= 0  0,,,
inclinometer y offset= 30  31,,,
,,,
Wavlen,Refer,Target,Reflect
864.6,130883.1,130883.1,100
866,127491.35,127378.13,99.91
867.3,128119.9,128119.9,100
868.7,130232.18,130348.35,100.09
870.1,131560.65,131678.33,100.09
871.5,132045.9,132045.9,100
872.8,131551.2,131551.2,100
874.2,130845.6,130845.6,100
875.6,130474.3,130474.3,100
876.9,130324.98,130324.98,100
878.3,129642.3,129642.3,100
879.7,128533.8,128533.8,100
881,128037,128037,100
882.4,128174.48,128174.48,100
883.8,127740.6,127606.7,99.9
885.1,126538.13,126402.5,99.89
886.5,125514.68,125514.68,100
887.8,125392.5,125392.5,100
889.2,124939.88,124939.88,100
890.5,123066,123066,100
891.9,118691.8,118982,100.24
893.3,111758,111905.05,100.13
894.6,102351.2,102351.2,100
896,92716.25,92867.5,100.16
897.3,84955.9,85109.25,100.18
898.7,79616,79771.5,100.2
900,77686.8,77844.7,100.2
901.4,80728.2,80728.2,100
902.7,88345.6,88020.8,99.63
904,93614.73,93614.73,100
905.4,91113.75,91280.63,100.18
906.7,84191.8,84361.2,100.2
908.1,78546.88,78718.75,100.22
909.4,76681,76855.28,100.23
910.8,76565.23,76565.23,100
912.1,74799.38,74978.75,100.24
913.4,72790,72608.03,99.75
914.8,71615.1,71615.1,100
916.1,71904,71716.75,99.74
917.4,75170.7,75360.53,100.25
918.8,81609.4,81609.4,100
920.1,86116.28,86311.55,100.23
921.4,86976.88,86976.88,100
922.7,85086.45,85086.45,100
924.1,83089.05,83089.05,100
925.4,80620.25,80620.25,100
926.7,73525.58,73736.25,100.29
928,62125.25,62339.48,100.34
929.3,49542.75,49761,100.44
930.7,37627.85,37850.5,100.59
932,27524.48,27751.95,100.83
933.3,21819.75,21819.75,100
934.6,19386.85,19386.85,100
935.9,19417.73,19657.45,101.23
937.2,23313.6,23313.6,100
938.5,29681.3,29681.3,100
939.9,32769,32520.75,99.24
941.2,31553.13,31553.13,100
942.5,29624,29624,100
943.8,27559.88,27822.35,100.95
945.1,26946.8,27213.6,100.99
946.4,27634.35,28176.2,101.96
947.7,29208.3,29208.3,100
949,29997.45,30277.8,100.93
950.3,30796.2,30796.2,100
951.6,30747.95,30747.95,100
952.9,31583.73,31583.73,100
954.2,32448.6,32448.6,100
955.5,34260.8,34260.8,100
956.8,36448.43,36448.43,100
958,37162.13,37162.13,100
959.3,38487.58,38487.58,100
960.6,41507.55,41836.98,100.79
961.9,44631.48,44631.48,100
963.2,47569.28,47911.5,100.72
964.5,50238,49889.13,99.31
965.8,55497,54785.5,98.72
967,63511.88,63148.95,99.43
968.3,70433,70433,100
969.6,74559.58,74559.58,100
970.9,74985.85,75758.9,101.03
972.2,72275.85,73065.75,101.09
973.4,69173.78,69173.78,100
974.7,67990.3,68404.88,100.61
976,69720.5,69295.38,99.39
977.3,71614.7,71614.7,100
978.5,73325.55,73325.55,100
979.8,76911.95,76911.95,100
981.1,80380.25,80380.25,100
982.3,83093.7,83571.25,100.57
983.6,86287.23,86287.23,100
984.9,88848.8,88848.8,100
986.1,91045.5,91045.5,100
987.4,92520.3,92060,99.5
988.7,92936.75,92936.75,100
989.9,93896.25,93896.25,100
991.2,93948.98,93507.9,99.53
992.4,94639.13,94203,99.54
993.7,94854.38,94854.38,100
994.9,95267.58,95267.58,100
996.2,95328.35,95759.7,100.45
997.4,94827,95260,100.46
998.7,95058.9,95058.9,100
999.9,94293.75,94293.75,100
1001.2,93901.5,93454.35,99.52
1002.4,92794.5,92794.5,100
1003.7,91867.05,91867.05,100
1004.9,91486.83,91486.83,100
1006.2,92278.25,92278.25,100
1007.4,92120.75,92120.75,100
1008.6,92590.55,92590.55,100
1009.9,93327.68,93327.68,100
1011.1,93322.9,93865.48,100.58
1012.3,93453.2,94012.8,100.6
1013.6,93461.85,94038.78,100.62
1014.8,93332.58,93927.05,100.64
1016,93528.9,93528.9,100
1017.3,93114.2,93114.2,100
1018.5,92824.88,92824.88,100
1019.7,93192.55,92522.1,99.28
1020.9,92590.65,92590.65,100
1022.2,92508,92508,100
1023.4,92594.25,92594.25,100
1024.6,92338.75,93095.63,100.82
1025.8,92846.78,92066.55,99.16
1027.1,92212.75,93014.6,100.87
1028.3,92372,92372,100
